;;Einheit;Produktgruppe ;Produkt ;Verkaufspreis ;Verrechnung Aufpreis;Paket Inhalt;;Einheit Abkürzug ;;Bedingung bei kostenlos;Bedingung bei Aufpreis;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;Pak.;Laminat;Torgas Eiche;13,99;;2,67;;m²;;;;;;;;;;;;;;;;
;;m²;Dämmung;Basic PE Schaum;0,55;;1;;m²;KOSTENLOS;;;;;;;;;;;;;;;
;;Stk.;Sockelleiste;St40 ;3,5;;2,4;;m;KOSTENLOS;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;Pak.;Dämmung;Silenced Board;3;2,45;7;;m²;Aufpreis Artikel;;;;;;;;;;;;;;;
;;Stk.;Sockelleiste;WM58;6;2,5;2,5;;m;Aufpreis Artikel;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Berechnung;;;;;;;;;;;;;;;;;;;;;;;;;
;Anzahl;;;;;;;Menge;;Gesamtbetrag;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;10;Pak.;Laminat ;Torgas Eiche ;13,99;;2,67;26,7;m²;373,53;;;;;;;;;;;;;;;
;26;m²;Dämmung;Basic PE Schaum;0;;1;26;m²;0,00;Menge Boden geteilt durch Paket Inhalt Dämmung, Einheit drunter bleiben ;Menge Boden geteilt durch Paket Inhalt Dämmung, Einheit eine drüber bleiben ;;;;;;;;;;;;;
;11,00;Stk.;Sockelleiste;St40;0;;2,4;26,4;m;0,00;Menge Boden geteilt durch Paket Inhalt Sockelleiste, Einheit drunter bleiben ;Menge Boden geteilt durch Paket Inhalt Sockelleiste, Einheit eine drüber bleiben ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;373,53;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;10;Pak.;Laminat ;Torgas Eiche ;13,99;;2,67;26,7;m²;373,53;;;;;;;;;;;;;;;
;4;Pak.;Dämmung;Silenced Board;2,45;;7;28;m²;68,6;;;;;;;;;;;;;;;
;11;Stk.;Sockelleiste;WM58;2,5;;2,5;27,5;m;68,75;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;510,88;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Notizen;;;;;;;;;;;;;;;;;;;;;;;;;
• Alle Artikel nach Verkaufspreis x Paket Inhalt berechnen!;;;;;;;;;;;;;;;;;;;;;;;;;
